Taxa,PC1,PC2,PC3
FF68_CN1,-124.695230409924,-105.609639906921,67.5070789187829
FF68_CN10,-154.559075622952,-147.840616593226,151.536833671596
FF68_CN100,-157.327232996775,-164.757052103436,164.932684590496
FF68_CN101,-157.294267901083,-164.600516712823,164.77688083572
FF68_CN102,-157.409843681648,-165.113177154685,164.962589273188
FF68_CN103,-157.21408567829,-164.885905443051,164.296748751885
FF68_CN104,-157.314676917969,-164.844290573549,164.916594503866
FF68_CN105,-156.93861128845,-163.097839150869,163.1740289178
FF68_CN106,-157.329862142853,-164.673726273101,164.694321690107
FF68_CN107,-157.274447356042,-164.67658027375,164.966957370939
FF68_CN108,-155.004190852408,-148.883664372075,153.350062751598
FF68_CN109,-157.369406131249,-164.943504631397,164.916209506728
FF68_CN11,-154.191975908177,-147.312251578431,150.48111180197
FF68_CN110,-157.331394626482,-165.467309994418,164.772135608654
FF68_CN111,-157.069945987472,-164.305817350948,164.26160694858
FF68_CN112,-157.261894097237,-164.917108856783,164.296915092695
FF68_CN113,-157.347316328021,-165.188813800777,164.688121258992
FF68_CN114,-157.289916832099,-164.830266879934,164.907695812206
FF68_CN115,-157.294097782905,-164.724794408866,164.714011445211
FF68_CN116,-157.246844859276,-164.186585412869,164.60709588438
FF68_CN117,-157.257829053971,-164.825897617734,164.424179196021
FF68_CN118,-121.158479628835,-67.504539108659,22.1790149496565
FF68_CN119,-157.322364184203,-164.727604870667,164.93796086854
FF68_CN12,-87.3749891192184,-29.4877150279062,-70.0104733322235
FF68_CN120,-123.108086164792,-4.25674633240615,-34.8161225933529
FF68_CN121,-122.061275585082,26.7780419057527,-0.609544043081858
FF68_CN122,761.259978240163,-73.7327320382802,-40.9543179001672
FF68_CN123,-25.2320418000681,37.6370339209426,-190.455917126967
FF68_CN124,-106.534453953017,-38.7524869452544,-40.2007221572435
FF68_CN125,-31.9765116697478,38.1117788985492,-192.101281548996
FF68_CN126,-73.009355289225,30.089292940703,-180.034502925109
FF68_CN127,-36.7686480287796,26.8421779819535,-152.969581408292
FF68_CN128,-118.523762712236,379.478621850005,192.129263811238
FF68_CN129,-116.497493036008,380.613439795544,189.465577183843
FF68_CN13,-96.6182818235287,-31.0675738231359,-50.5289447419428
FF68_CN130,954.181247981389,-52.5727043255123,-33.3626037904724
FF68_CN131,1449.90941758421,-86.8239699972961,50.1800918649502
FF68_CN132,1374.72839807898,-79.9970982976049,46.7571283813893
FF68_CN133,1347.9108911748,-77.4385045354435,44.6497008448151
FF68_CN134,309.502060554373,-5.40795528374696,-60.6503032044264
FF68_CN135,302.792606449656,-34.5415797562484,-111.148121881193
FF68_CN136,134.425873696433,135.723897196949,-97.4009436705404
FF68_CN137,-104.228947558861,-42.0239523836514,-53.7763545641903
FF68_CN138,479.590208320047,15.5945639070744,-96.2183804831958
FF68_CN139,-109.112055301913,3.36622644021669,-90.0179314967918
FF68_CN14,469.335054796839,553.725227778305,297.434154550638
FF68_CN140,-77.3388225022726,48.6701051101293,-133.942500089118
FF68_CN141,-20.7481925060549,22.2876269365658,-157.803178703348
FF68_CN142,1328.20039043277,-90.3142825204191,16.3499110505378
FF68_CN143,-42.196295671527,47.2237549734183,-192.269057715138
