Sample_ID,Pop_ID,K1,K2
FF68_CN1,FF68_CN1,0.119,0.881
FF68_CN10,FF68_CN10,0,1
FF68_CN100,FF68_CN100,0,1
FF68_CN101,FF68_CN101,0,1
FF68_CN102,FF68_CN102,0,1
FF68_CN103,FF68_CN103,0,1
FF68_CN104,FF68_CN104,0,1
FF68_CN105,FF68_CN105,0.001,0.999
FF68_CN106,FF68_CN106,0,1
FF68_CN107,FF68_CN107,0,1
FF68_CN108,FF68_CN108,0,1
FF68_CN109,FF68_CN109,0,1
FF68_CN11,FF68_CN11,0,1
FF68_CN110,FF68_CN110,0,1
FF68_CN111,FF68_CN111,0,1
FF68_CN112,FF68_CN112,0,1
FF68_CN113,FF68_CN113,0,1
FF68_CN114,FF68_CN114,0,1
FF68_CN115,FF68_CN115,0,1
FF68_CN116,FF68_CN116,0,1
FF68_CN117,FF68_CN117,0,1
FF68_CN118,FF68_CN118,0.156,0.844
FF68_CN119,FF68_CN119,0,1
FF68_CN12,FF68_CN12,0.203,0.797
FF68_CN120,FF68_CN120,0.127,0.873
FF68_CN121,FF68_CN121,0.052,0.948
FF68_CN122,FF68_CN122,0.949,0.051
FF68_CN123,FF68_CN123,0.749,0.251
FF68_CN124,FF68_CN124,0.367,0.633
FF68_CN125,FF68_CN125,0.836,0.164
FF68_CN126,FF68_CN126,0.68,0.32
FF68_CN127,FF68_CN127,0.557,0.443
FF68_CN128,FF68_CN128,0.331,0.669
FF68_CN129,FF68_CN129,0.341,0.659
FF68_CN13,FF68_CN13,0.285,0.715
FF68_CN130,FF68_CN130,0.988,0.012
FF68_CN131,FF68_CN131,1,0
FF68_CN132,FF68_CN132,1,0
FF68_CN133,FF68_CN133,1,0
FF68_CN134,FF68_CN134,0.66,0.34
FF68_CN135,FF68_CN135,0.746,0.254
FF68_CN136,FF68_CN136,0.937,0.063
FF68_CN137,FF68_CN137,0.347,0.653
FF68_CN138,FF68_CN138,0.965,0.035
FF68_CN139,FF68_CN139,0.661,0.339
FF68_CN14,FF68_CN14,0.997,0.003
FF68_CN140,FF68_CN140,0.629,0.371
FF68_CN141,FF68_CN141,0.467,0.533
FF68_CN142,FF68_CN142,1,0
FF68_CN143,FF68_CN143,0.858,0.142
FF68_CN144,FF68_CN144,0.27,0.73
FF68_CN145,FF68_CN145,0.067,0.933
FF68_CN146,FF68_CN146,0,1
FF68_CN147,FF68_CN147,0.613,0.387
FF68_CN148,FF68_CN148,0,1
