Taxa	Color
FF68_CN1	1
FF68_CN2	1
FF68_CN3	3
FF68_CN4	5
FF68_CN5	5
FF68_CN6	1
FF68_CN7	1
FF68_CN8	1
FF68_CN9	1
FF68_CN10	1
FF68_CN11	1
FF68_CN12	1
FF68_CN13	2
FF68_CN14	5
FF68_CN15	1
FF68_CN16	1
FF68_CN17	1
FF68_CN18	1
FF68_CN19	NA
FF68_CN20	1
FF68_CN21	1
FF68_CN22	1
FF68_CN23	2
FF68_CN24	1
FF68_CN25	1
FF68_CN26	1
FF68_CN27	1
FF68_CN28	1
FF68_CN29	1
FF68_CN30	1
FF68_CN31	1
FF68_CN32	1
FF68_CN33	1
FF68_CN34	1
FF68_CN35	1
FF68_CN36	1
FF68_CN37	1
FF68_CN38	1
FF68_CN39	1
FF68_CN40	1
FF68_CN41	2
FF68_CN42	2
FF68_CN43	1
FF68_CN44	1
FF68_CN45	1
FF68_CN46	1
FF68_CN47	1
FF68_CN48	1
FF68_CN49	2
FF68_CN50	1
FF68_CN51	2
FF68_CN52	1
FF68_CN53	1
FF68_CN54	1
FF68_CN55	1
FF68_CN56	1
FF68_CN57	1
FF68_CN58	2
FF68_CN59	5
FF68_CN60	4
FF68_CN61	5
FF68_CN62	4
FF68_CN63	4
FF68_CN64	1
FF68_CN65	1
FF68_CN66	4
FF68_CN67	4
FF68_CN68	2
FF68_CN69	1
FF68_CN70	1
FF68_CN71	1
FF68_CN72	2
FF68_CN73	1
FF68_CN74	1
FF68_CN75	3
FF68_CN76	1
FF68_CN77	1
FF68_CN78	1
FF68_CN79	1
FF68_CN80	1
FF68_CN81	1
FF68_CN82	1
FF68_CN83	1
FF68_CN84	1
FF68_CN85	1
FF68_CN86	1
FF68_CN87	1
FF68_CN88	1
FF68_CN89	1
FF68_CN90	1
FF68_CN91	1
FF68_CN92	1
FF68_CN93	2
FF68_CN94	1
FF68_CN95	1
FF68_CN96	1
FF68_CN97	1
FF68_CN98	1
FF68_CN99	1
FF68_CN100	1
FF68_CN101	1
FF68_CN102	1
FF68_CN103	1
FF68_CN104	1
FF68_CN105	1
FF68_CN106	1
FF68_CN107	1
FF68_CN108	1
FF68_CN109	1
FF68_CN110	1
FF68_CN111	1
FF68_CN112	1
FF68_CN113	1
FF68_CN114	1
FF68_CN115	1
FF68_CN116	1
FF68_CN117	1
FF68_CN118	1
FF68_CN119	1
FF68_CN120	NA
FF68_CN121	1
FF68_CN122	1
FF68_CN123	1
FF68_CN124	2
FF68_CN125	1
FF68_CN126	1
FF68_CN127	1
FF68_CN128	5
FF68_CN129	5
FF68_CN130	1
FF68_CN131	1
FF68_CN132	1
FF68_CN133	1
FF68_CN134	1
FF68_CN135	1
FF68_CN136	2
FF68_CN137	1
FF68_CN138	1
FF68_CN139	1
FF68_CN140	2
FF68_CN141	1
FF68_CN142	1
FF68_CN143	2
FF68_CN144	NA
FF68_CN145	1
FF68_CN146	1
FF68_CN147	3
FF68_CN148	1
FF68_CN149	1
FF68_CN150	1
FF68_CN151	1
FF68_CN152	1
FF68_CN153	2
FF68_CN154	1
FF68_CN155	5
FF68_CN156	1
FF68_CN157	1
FF68_CN158	1
FF68_CN159	1
FF68_CN160	1
FF68_CN161	1
FF68_CN162	1
FF68_CN163	1
FF68_CN164	1
FF68_CN165	1
FF68_CN166	1
FF68_CN167	1
FF68_CN168	1
FF68_CN169	1
FF68_CN170	5
